source_id,target_id,freq,avg_conf,npmi,lr_log,slope_log1p,weight_final,final_score,status,first_year,last_year,is_emerging,action_match,type
453,1769,2,0.935,0.9999992709149012,7.775695745151245,,0.5991054407018663,0.8147191677412249,active,2020,2020,False,1,TECH_FUNC
513,2407,2,0.928,0.9999992709149012,7.775695745151245,,0.5946201593276278,0.8088344625373396,active,2014,2014,False,1,TECH_FUNC
317,1918,2,0.863,0.9999992709149012,7.775695745151245,0.0,0.5529711179954124,0.803102186266823,active,2017,2023,False,1,TECH_FUNC
451,2026,2,0.863,0.9999992709149012,7.775695745151245,0.0,0.5529711179954124,0.8022913754560121,active,2021,2024,False,1,TECH_FUNC
283,1246,2,0.856,0.9999992709149012,7.775695745151245,,0.5484858366211738,0.8000057488320256,active,2022,2022,False,1,TECH_FUNC
510,1847,2,0.8594999999999999,0.9999992709149012,7.775695745151245,0.0,0.5507284773082931,0.7965556036856805,active,2022,2023,False,1,TECH_FUNC
484,2328,2,0.879,0.9999992709149012,7.775695745151245,,0.5632231897079577,0.7766137733513903,active,2020,2020,False,1,TECH_FUNC
76,319,4,0.863,0.9999998000581316,7.0825485669733,0.1732867951399863,1.3808,0.767205470202881,active,2019,2023,False,1,TECH_FUNC
84,504,3,0.879,0.9999996582786967,7.370230638631082,,0.9652089897795647,0.7532185152306466,active,2020,2020,False,1,TECH_FUNC
122,10,2,0.935,0.7544215459681276,5.866153242913477,0.0,0.5991054407018663,0.7528445443765511,active,2020,2023,False,1,TECH_FUNC
103,442,3,0.879,0.9999996582786967,7.370230638631082,0.0,0.9652089897795647,0.7526779746901061,active,2018,2021,False,1,TECH_FUNC
12,1,8,0.869375,0.8730819487828754,5.57847117178503,0.2637395723148143,3.375131957829257,0.746122041995244,active,2015,2020,False,1,TECH_FUNC
9,2,9,0.8598888888888889,0.8914594665876696,5.590893691803437,0.2118244650968009,3.8695,0.74423328696714,active,2010,2014,False,1,TECH_FUNC
63,305,4,0.879,0.9999998000581316,7.0825485669733,,1.4064,0.744054046278357,active,2019,2019,False,1,TECH_FUNC
421,586,2,0.879,0.9478543272373227,7.370230637837081,,0.5632231897079577,0.7424161118922807,active,2015,2015,False,1,TECH_FUNC
138,1358,2,0.879,0.9478543272373227,7.370230637837081,0.0,0.5632231897079577,0.7402539497301186,active,2020,2024,False,1,TECH_FUNC
40,1622,2,0.921,0.8587117846581325,6.677083458071137,,0.5901348779533891,0.7382228786926461,active,2016,2016,False,1,TECH_FUNC
46,40,5,0.8789999999999999,0.9999998679299698,6.859405016135491,-0.3054302439580516,1.876889070833682,0.7376804693929125,active,2020,2023,False,1,TECH_FUNC
30,166,5,0.8789999999999999,0.9314803261271946,6.389401387247056,,1.876889070833682,0.7327367136016382,active,2016,2016,False,1,TECH_FUNC
518,203,2,0.879,0.9108568499514895,7.082548565782301,0.0,0.5632231897079577,0.7308917188826324,active,2015,2018,False,1,TECH_FUNC
8,199,4,0.879,0.7343651337398692,5.201176940257906,0.2310490601866484,1.4064,0.7145570852799575,active,2017,2020,False,1,TECH_FUNC
351,5,2,0.879,0.7325715519648818,5.696254205555663,0.0,0.5632231897079577,0.7144394616625737,active,2016,2024,False,1,TECH_FUNC
8,41,3,0.879,0.6969440174193082,5.136638418882135,-0.1013662770270411,0.9652089897795647,0.7117939589313601,active,2020,2024,False,1,TECH_FUNC
1,24,5,0.8762000000000001,0.3955300345609833,2.713100715920469,-0.1332975347230664,1.870910357069934,0.707041617733773,active,2019,2023,False,1,TECH_FUNC
1,17,4,0.8755000000000001,0.3258199468442075,2.307635607971138,-0.2310490601866484,1.4008,0.6920840607929916,active,2015,2018,False,1,TECH_FUNC
1,204,3,0.8720000000000002,0.2988068064421469,2.202275092154522,,0.9575224563000917,0.6837851276834255,active,2017,2017,False,1,TECH_FUNC
2213,686,1,0.935,0.9999973212502988,8.468842920947191,,0.23375,0.8614081463386186,candidate,2021,2021,False,1,TECH_FUNC
2864,11156,1,0.935,0.9999973212502988,8.468842920947191,,0.23375,0.8614081463386186,candidate,2019,2019,False,1,TECH_FUNC
